"","stom_leng","stom_dens"
"SPIALB01_WM",13.4872,554.888984288565
"SPIALB02_GR",14.861,534.465079702899
"SPIALB02_WM",14.03,573.612232224682
"SPIALB03_HF",10.8374,628.380668788073
"SPIALB03_SH",9.8812,476.40817008661
"SPIALB03_WM",15.8392,713.185535021193
"SPIALB04_GR",15.0682,505.436624894754
"SPIALB04_HF",8.601,770.107830498426
"SPIALB05_HF",10.8446,397.860586488101
"SPIALB05_WM",12.4302,531.059396006234
"SPIALB06_GR",12.7326,539.587748198454
"SPIALB06_SH",9.6502,659.116679761403
"SPIALB08_SH",9.116,539.587748198454
"SPIALB10_GR",9.3544,642.041118109553
"SPIALB99_SH",11.4456,630.088224953258
"TILAME01_SH",21.2228,138.312049379983
"TILAME02_HF",17.6526,141.727161710353
"TILAME02_SH",21.519,129.774268554059
"TILAME03_HF",18.8818,95.6231452503589
"TILAME03_SH",17.6938,179.293397344423
"TILAME04_SH",18.968,128.066712388874
"TILAME05_HF",15.8234,179.293397344423
"TILAME08_HF",15.4686,160.510279527388
"ULMAME01_HF",19.2898,122.944043893319
"ULMAME01_SH",27.755,140.019605545168
"ULMAME02_GR",21.3714,286.070854803593
"ULMAME02_HF",22.7422,165.632948022943
"ULMAME03_GR",23.17,166.160915664363
"ULMAME03_HF",21.5504,227.104969969602
"ULMAME04_GR",22.0726,315.191840023121
"ULMAME06_GR",24.5558,226.115885233978
"ULMAME22_HF",19.794,235.642750795527
"ULMANE01_WM",23.583,246.806450067
"ULMANE02_WM",23.2956,246.806450067
"ULMANE03_WM",22.766,127.658508655345
"ULMANE05_WM",24.4924,296.1677400804
"VACMYR01_HF",13.5994,220.274745308863
"VACMYR02_GR",16.1986,205.559895667253
"VACMYR02_SH",14.0266,235.642750795527
"VACMYR02_WM",12.7134,231.487429028358
"VACMYR03_GR",14.5968,256.949869584066
"VACMYR03_WM",11.378,270.636038349331
"VACMYR04_GR",13.8244,327.182833937044
"VACMYR04_HF",11.4256,286.869435751077
"VACMYR04_SH",15.3854,230.520082299972
"VACMYR05_HF",13.0098,261.256093273302
"VACMYR05_SH",13.113,215.152076813308
"VACMYR05_WM",12.7604,299.571966977876
"VACMYR06_GR",16.5968,395.702799159462
"VACMYR06_SH",14.8708,220.274745308863
"VACMYR07_HF",13.4966,273.208986429597
"VACMYR07_WM",12.0976,302.976193875352
"VIBCAS01_WM",29.351,56.1697438083517
"VIBCAS02_WM",31.709,68.0845379495172
"VIBCAS03_GR",31.1396,94.2149521808242
"VIBCAS03_WM",34.8008,78.2972186419448
"VIBCAS04_GR",35.8898,104.492946964187
"VIBCAS04_HF",32.8612,52.9342411207344
"VIBCAS04_SH",35.2946,56.3493534511044
"VIBCAS04_WM",33.4936,114.041601065441
"VIBCAS05_GR",32.9066,89.0759547891428
"VIBCAS05_SH",38.6728,64.8871342770293
"VIBCAS06_GR",30.3698,75.3719617446593
