Individual,Site,Species,Latitude,Longitude,Elevation,Leaf area,Fresh mass,Dry mass,Stem volume,Stem mass,Height,Distance,Bottom m,Top m,DBH,DBH 2,DBH 3,Summer 2015 notes,Summer 2015 Route,Summer 2015 Date Sampled,%N,%C
VACMYR07_GR,GR,VACMYR,44.87987501,-71.10028298,444,,,,,,,,,,,,,,,,,
VIBCAS01_GR,GR,VIBCAS,44.923938,-71.09309097,423,216.025,3.39,0.81,0.88,0.49,,,,,,,,,,,,
VIBCAS02_GR,GR,VIBCAS,44.92358001,-71.09029602,440,317.949,4.56,1.02,1.21,0.7,1.5,,,,<1,<1,<1,5 stems <1,,,,
VIBCAS03_GR,GR,VIBCAS,44.92328497,-71.09061101,436,267.134,4.57,1.15,0.68,0.4,,,,,,,,,,,,
VIBCAS04_GR,GR,VIBCAS,44.92318204,-71.09054396,437,243.064,4.42,1.18,0.76,0.4,,,,,,,,,,,,
VIBCAS05_GR,GR,VIBCAS,44.92305798,-71.09048604,435,142.657,2.32,0.6,0.74,0.39,,,,,,,,,,,,
VIBCAS06_GR,GR,VIBCAS,44.92351002,-71.08968498,434,287.653,4.27,0.99,0.96,0.55,,,,,,,,,,,,
VIBCAS07_GR,GR,VIBCAS,44.880434,-71.09901597,478,,,,,,,,,,,,,,,,,
VIBCAS08_GR,GR,VIBCAS,44.88032201,-71.09927698,472,,,,,,,,,,,,,,,,,
VIBCAS09_GR,GR,VIBCAS,44.87966898,-71.10057098,433,,,,,,,,,,,,,,,,,
VIBCAS10_GR,GR,VIBCAS,44.88057003,-71.103681,407,,,,,,,,,,,,,,,,,
VIBCAS11_GR,GR,VIBCAS,44.880378,-71.10365602,406,,,,,,,,,,,,,,,,,
VIBCAS12_GR,GR,VIBCAS,44.88025303,-71.09978803,451,,,,,,,,,,,,,,,,,
VIBLAN01_GR,GR,VIBLAN,44.92394999,-71.092363,434,262.845,2.94,0.88,1.37,0.66,,,,,,,,,,,,
VIBLAN02_GR,GR,VIBLAN,44.92406197,-71.09242,425,273.55,2.59,0.75,1.1,0.44,,,,,,,,,,,,
VIBLAN03_GR,GR,VIBLAN,44.92474803,-71.09610099,424,393.744,5.27,1.82,0.96,0.38,,,,,,,,,,,,
VIBLAN04_GR,GR,VIBLAN,44.92516302,-71.09672503,427,263.793,3.54,1.07,1.22,0.58,,,,,,,,,,,,
VIBLAN05_GR,GR,VIBLAN,44.92538799,-71.09714303,426,282.765,3.96,1.28,1.24,0.5,,,,,,,,,,,,
VIBLAN06_GR,GR,VIBLAN,44.92507601,-71.097871,454,169.233,2.01,0.6,1.29,0.56,,,,,,,,"duplicate, kept the 2-leaf version",,,,
VIBLAN07_GR,GR,VIBLAN,44.89866396,-71.074042,425,323.321,3.62,0.9,1.11,0.48,,,,,,,,,,,,
VIBLAN08_GR,GR,VIBLAN,44.89875197,-71.07401904,432,,,,,,,,,,,,,,,,,
ACEPEN01_WM,WM,ACEPEN,44.00019201,-71.37700204,396,286.386,2.88,0.891,1.86,0.814,,,,,,,,,,,,
ACEPEN02_WM,WM,ACEPEN,43.99870003,-71.37489097,385,,2.61,0.701,0.21,1.106,,,,,,,,,,,,
ACEPEN03_WM,WM,ACEPEN,43.99981298,-71.37555096,387,253.062,3.38,1.043,2.06,0.980,,,,,,,,,,,,
ACEPEN04_WM,WM,ACEPEN,44.00766003,-71.37904597,393,233.131,2.23,0.650,7.61,0.788,,,,,,,,,,,,
ACEPEN07_WM,WM,ACEPEN,43.99879902,-71.37510798,396,285.927,3.10,0.966,3.72,1.822,,,,,,,,,,,,
ACEPEN08_WM,WM,ACEPEN,43.99923404,-71.37532298,394,288.773,2.68,0.770,2.89,1.418,,,,,,,,,,,,
ACEPEN09_WM,WM,ACEPEN,44.00054396,-71.37212704,392,312.183,4.59,1.623,4.09,2.175,,,,,,,,,,,,
ACERUB01_WM,WM,ACERUB,43.99793199,-71.37242602,356,335.908,5.53,2.845,2.72,1.467,,,,,,,,,,,,
ACERUB02_WM,WM,ACERUB,43.99917402,-71.37545097,387,213.489,3.04,1.320,4.27,2.468,,,,,,,,,,,,
ACERUB03_WM,WM,ACERUB,43.999616,-71.37543697,386,242.129,2.31,0.924,2.56,1.382,,,,,,,,,,,,
ACERUB04_WM,WM,ACERUB,43.99981298,-71.37469098,387,251.233,2.83,1.198,4.43,2.287,,,,,,,,,,,,
ACERUB05_WM,WM,ACERUB,44.00101402,-71.37855101,396,240.035,2.24,0.832,2.41,1.307,,,,,,,,,,,,
ACERUB06_WM,WM,ACERUB,43.99902198,-71.37558399,387,287.026,3.47,1.364,4.22,2.044,,,,,,,,,,,,
ACESAC01_WM,WM,ACESAC,43.99893003,-71.37542498,391,287.662,2.36,0.956,3.27,2.062,,,,,,,,,,,,
ACESAC02_WM,WM,ACESAC,43.99877597,-71.37528299,384,204.24,1.51,0.586,3.50,2.060,,,,,,,,,,,,
ACESAC03_WM,WM,ACESAC,43.99906799,-71.37554401,386,237.432,2.55,1.038,2.11,1.328,,,,,,,,,,,,
ACESAC04_WM,WM,ACESAC,43.99837498,-71.37388296,394,283.686,2.49,0.943,3.92,2.525,,,,,,,,,,,,
ACESAC05_WM,WM,ACESAC,43.99858997,-71.37504302,396,276.164,2.44,0.939,3.22,1.740,,,,,,,,,,,,
ACESAC06_WM,WM,ACESAC,43.99930998,-71.37533303,390,263.611,1.95,0.846,3.26,1.978,,,,,,,,,,,,
ALNINC01_WM,WM,ALNINC,43.99797298,-71.37243398,340,258.179,4.00,1.576,2.80,1.351,,,,,,,,,,,,
ALNINC02_WM,WM,ALNINC,43.99759797,-71.37254798,382,313.174,5.77,2.462,4.49,2.373,,,,,,,,,,,,
ALNINC03_WM,WM,ALNINC,43.99830599,-71.37373896,391,240.45,3.84,1.604,2.62,4.269,,,,,,,,,,,,
ALNINC04_WM,WM,ALNINC,43.99866197,-71.37530001,392,140.939,2.00,0.845,1.83,0.850,,,,,,,,,,,,
ALNINC05_WM,WM,ALNINC,43.99864202,-71.375327,398,166.601,2.34,1.073,2.75,1.331,,,,,,,,,,,,
ALNINC06_WM,WM,ALNINC,43.99834597,-71.37549296,401,223.911,2.66,0.861,2.47,1.124,,,,,,,,,,,,
AMECAN01_WM,WM,AMECAN,43.99795102,-71.37238202,362,194.214,2.00,1.041,2.84,1.768,,,,,,,,,,,,
AMECAN02_WM,WM,AMECAN,43.99887898,-71.375558,389,228.826,2.21,1.016,2.08,1.418,,,,,,,,,,,,
AMECAN03_WM,WM,AMECAN,44.007439,-71.37936196,391,77.903,0.79,0.400,2.06,1.498,,,,,,,,,,,,
AMECAN04_WM,WM,AMECAN,44.00760898,-71.37925199,393,186.316,1.93,0.987,4.15,2.705,,,,,,,,,,,,
AMECAN05_WM,WM,AMECAN,44.00751703,-71.37924604,392,267.902,2.82,1.291,5.26,3.388,,,,,,,,,,,,
AMECAN06_WM,WM,AMECAN,44.00762399,-71.37914303,393,198.101,1.67,0.644,2.88,1.826,,,,,,,,,,,,
AMECAN07_WM,WM,AMECAN,44.00763698,-71.37912702,394,262.045,2.34,0.940,1.99,1.313,,,,,,,,,,,,
AMELAE01_WM,WM,AMELAE,44.00402002,-71.37868898,394,238.77,3.13,1.460,0.93,0.698,,,,,,,,,,,,
AMELAE02_WM,WM,AMELAE,44.00511403,-71.24067801,307,221.352,2.09,0.811,1.43,1.055,,,,,,,,,,,,
AMELAE03_WM,WM,AMELAE,44.00470097,-71.24058204,298,165.864,1.85,0.759,3.91,2.331,,,,,,,,,,,,
AMELAE04_WM,WM,AMELAE,44.00492602,-71.24055798,294,208.587,1.72,0.598,0.94,0.616,,,,,,,,,,,,
AMELAE05_WM,WM,AMELAE,44.00463902,-71.24076803,291,238.208,2.47,0.936,1.65,1.136,,,,,,,,,,,,
AMELAE06_WM,WM,AMELAE,44.00531804,-71.24132199,289,159.1,1.70,0.673,2.06,1.238,,,,,,,,,,,,
AROMEL01_WM,WM,AROMEL,44.00386303,-71.37842604,391,146.319,2.31,0.947,1.28,0.877,,,,,,,,,,,,
AROMEL02_WM,WM,AROMEL,44.00360897,-71.37836502,390,156.969,2.24,0.854,1.15,0.792,,,,,,,,,,,,
AROMEL03_WM,WM,AROMEL,44.00392899,-71.37854104,380,243.374,4.06,1.496,0.74,0.587,,,,,,,,,,,,
AROMEL04_WM,WM,AROMEL,44.00401399,-71.37847298,378,96.808,1.43,0.573,0.94,0.664,,,,,,,,,,,,
AROMEL05_WM,WM,AROMEL,44.00401667,-71.37848337,268,189.186,3.13,1.234,1.72,1.134,,,,,,,,,,,,
AROMEL06_WM,WM,AROMEL,44.00381701,-71.37837701,377,167.866,2.07,0.717,1.29,0.824,,,,,,,,,,,,
BETALL01_WM,WM,BETALL,43.99883296,-71.37551903,389,255.024,2.72,0.812,3.94,2.253,,,,,,,,,,,,
BETALL02_WM,WM,BETALL,44.00073004,-71.37841699,398,230.445,2.46,0.763,2.09,1.198,,,,,,,,,,,,
BETALL03_WM,WM,BETALL,43.99866097,-71.37493699,385,305.366,2.94,0.721,1.29,0.824,,,,,,,,,,,,
BETALL04_WM,WM,BETALL,43.99873104,-71.37516397,384,299.719,3.20,0.961,2.99,1.629,,,,,,,,,,,,
BETALL05_WM,WM,BETALL,43.99980501,-71.37552397,387,258.276,2.48,0.741,2.59,1.429,,,,,,,,,,,,
BETALL06_WM,WM,BETALL,43.99999503,-71.37467698,388,299.873,3.64,1.185,3.35,1.762,,,,,,,,,,,,
BETALL07_WM,WM,BETALL,44.00103397,-71.37866702,396,286.169,2.67,0.799,2.46,1.356,,,,,,,,,,,,
BETPAP01_WM,WM,BETPAP,44.00031899,-71.37368599,389,267.623,2.34,0.682,2.82,1.497,,,,,,,,,,,,
BETPAP02_WM,WM,BETPAP,44.00023903,-71.37360603,389,313.582,2.87,0.907,2.60,1.556,,,,,,,,,,,,
BETPAP03_WM,WM,BETPAP,44.00340102,-71.378275,377,305.773,4.18,1.461,6.33,3.427,,,,,,,,,,,,
BETPAP04_WM,WM,BETPAP,44.00005303,-71.37388397,394,304.58,2.77,0.879,2.54,1.437,,,,,,,,,,,,
BETPAP05_WM,WM,BETPAP,44.001385,-71.37164701,393,279.54,4.44,1.635,3.36,1.935,,,,,,,,,,,,
BETPAP06_WM,WM,BETPAP,44.00015697,-71.37416703,378,271.002,3.14,0.925,6.46,3.400,,,,,,,,,,,,
BETPOP01_WM,WM,BETPOP,43.999572,-71.37527998,389,169.76,1.49,0.425,1.34,0.78,,,,,,,,,,,,
BETPOP03_WM,WM,BETPOP,43.994553,-71.36972596,386,189.327,2.43,0.932,4.28,2.570,,,,,,,,,,,,
BETPOP04_WM,WM,BETPOP,43.994266,-71.36973904,384,214.503,2.69,1.044,6.29,3.428,,,,,,,,,,,,
BETPOP05_WM,WM,BETPOP,43.99458996,-71.37001698,382,163.583,2.19,0.950,5.81,3.244,,,,,,,,,,,,
BETPOP06_WM,WM,BETPOP,43.994151,-71.36925699,386,159.277,2.07,0.841,6.53,3.723,,,,,,,,,,,,
BETPOP07_WM,WM,BETPOP,43.99444101,-71.36926202,386,186.11,2.31,0.877,3.80,2.231,,,,,,,,,,,,
CORALT03_WM,WM,CORALT,43.99837397,-71.37498401,423,335.024,3.04,0.792,1.33,0.672,,,,,,,,,,,,
CORALT04_WM,WM,CORALT,43.99828303,-71.37364601,391,265.609,4.55,1.755,1.91,1.074,,,,,,,,"Small loose piece included in stem weight, which was .120",,,,
CORALT05_WM,WM,CORALT,43.99821497,-71.37355004,402,185.416,2.31,0.393,2.00,0.915,,,,,,,,,,,,
CORALT06_WM,WM,CORALT,43.99791297,-71.37300203,399,213.209,1.95,0.582,0.92,0.532,,,,,,,,,,,,
CORALT07_WM,WM,CORALT,43.99798497,-71.37293296,398,244.16,2.37,0.662,0.70,0.392,,,,,,,,,,,,
CORALT08_WM,WM,CORALT,43.99794599,-71.37286901,397,317.665,2.77,0.852,0.90,0.546,,,,,,,,,,,,
CORCOR01_WM,WM,CORCOR,44.00016703,-71.37720899,398,302.26,2.22,0.750,1.85,0.968,,,,,,,,,,,,
CORCOR02_WM,WM,CORCOR,43.99803903,-71.37461102,382,343.664,2.31,0.820,2.70,1.344,,,,,,,,,,,,
CORCOR03_WM,WM,CORCOR,43.99816501,-71.37345004,390,261.175,2.29,0.895,3.07,1.609,,,,,,,,,,,,
CORCOR04_WM,WM,CORCOR,43.99806401,-71.37461403,393,285.784,2.30,0.864,3.36,1.855,,,,,,,,,,,,
CORCOR05_WM,WM,CORCOR,44.00038202,-71.37170602,390,312.622,2.92,1.233,1.59,0.807,,,,,,,,,,,,
CORCOR06_WM,WM,CORCOR,44.00038202,-71.37165103,390,278.028,2.34,0.897,1.77,0.918,,,,,,,,,,,,
FAGGRA01_WM,WM,FAGGRA,44.00074102,-71.37839796,398,312.86,2.12,0.930,2.34,1.287,,,,,,,,,,,,
FAGGRA02_WM,WM,FAGGRA,44.00143102,-71.37834297,396,,1.74,0.735,4.12,2.660,,,,,,,,,,,,
FAGGRA03_WM,WM,FAGGRA,43.99833902,-71.37421204,369,330.093,1.94,0.808,3.04,1.953,,,,,,,,,,,,
FAGGRA04_WM,WM,FAGGRA,43.99852401,-71.37481201,385,302.763,2.02,0.871,3.78,2.236,,,,,,,,,,,,
FAGGRA05_WM,WM,FAGGRA,43.999946,-71.37455301,389,315.737,2.23,0.947,4.45,2.790,,,,,,,,,,,,
FAGGRA07_WM,WM,FAGGRA,44.000005,-71.37421598,389,273.423,1.99,0.807,2.83,1.747,,,,,,,,,,,,
FAGGRA08_WM,WM,FAGGRA,44.00015504,-71.37377299,389,254.857,1.77,0.704,3.55,2.226,,,,,,,,,,,,
FAGGRA09_WM,WM,FAGGRA,44.00099399,-71.37853098,392,287.33,1.89,0.739,4.21,2.887,,,,,,,,,,,,
FRAAME01.2_WM,WM,FRAAME,,,,,4.38,1.560,3.84,2.118,,,,,,,,,,,,
FRAAME02_WM,WM,FRAAME,43.998019,-71.37458696,384,241.387,3.24,1.276,2.84,1.453,,,,,,,,,,,,
FRAAME03_WM,WM,FRAAME,43.99864898,-71.37549003,381,300.552,4.31,1.692,2.08,1.043,,,,,,,,,,,,
FRAAME04_WM,WM,FRAAME,43.99919699,-71.37556303,387,157.354,2.22,0.980,3.18,1.408,,,,,,,,,,,,
FRAAME05_WM,WM,FRAAME,43.998825,-71.37543797,399,254.009,2.76,1.105,3.42,1.877,,,,,,,,,,,,
FRAAME06_WM,WM,FRAAME,43.99868201,-71.37539799,398,240.458,3.08,1.256,4.80,2.518,,,,,,,,,,,,
HAMVIR01_WM,WM,HAMVIR,43.99901401,-71.37549397,389,276.154,2.59,0.700,2.72,1.574,,,,,,,,,,,,
HAMVIR02_WM,WM,HAMVIR,43.99914896,-71.37560796,389,272.249,2.75,0.736,1.27,0.723,,,,,,,,,,,,
HAMVIR03_WM,WM,HAMVIR,43.99834899,-71.37360401,400,257.392,4.72,2.013,1.38,0.703,,,,,,,,,,,,
HAMVIR04_WM,WM,HAMVIR,43.99830197,-71.37357602,349,203.514,3.05,1.297,2.01,1.145,,,,,,,,,,,,
HAMVIR06_WM,WM,HAMVIR,44.00477498,-71.23826302,269,334.44,3.62,1.262,3.38,1.846,,,,,,,,,,,,
HAMVIR07_WM,WM,HAMVIR,44.00504203,-71.23995298,270,332.324,4.93,1.838,2.56,1.472,,,,,,,,,,,,
ILEMUC01_WM,WM,ILEMUC,44.00237901,-71.37830199,394,,1.66,0.446,1.98,1.036,,,,,,,,,,,,
ILEMUC02_WM,WM,ILEMUC,44.00284002,-71.37846401,394,146.128,1.45,0.479,3.22,1.833,,,,,,,,,,,,
ILEMUC03_WM,WM,ILEMUC,44.00520204,-71.38010703,389,186.817,2.02,0.833,3.14,1.787,,,,,,,,,,,,
ILEMUC04_WM,WM,ILEMUC,44.00391097,-71.37840601,391,156.369,1.67,0.634,1.53,0.892,,,,,,,,,,,,
ILEMUC05_WM,WM,ILEMUC,44.00297103,-71.37832898,391,233.181,2.36,0.870,3.31,1.820,,,,,,,,,,,,
ILEMUC06_WM,WM,ILEMUC,44.00345097,-71.37836301,392,178.332,2.09,0.901,1.74,1.070,,,,,,,,,,,,
ILEMUC07_WM,WM,ILEMUC,44.00728896,-71.37953899,393,102.733,1.50,0.651,2.66,1.566,,,,,,,,,,,,
KALANG01_WM,WM,KALANG,44.00408297,-71.37870197,394,84.502,1.54,0.662,1.19,0.575,,,,,,,,,,,,
KALANG02_WM,WM,KALANG,44.00364099,-71.37826603,389,112.459,2.16,0.981,0.66,0.374,,,,,,,,,,,,
KALANG03_WM,WM,KALANG,44.00548333,-71.38056669,266,200.562,3.55,1.132,1.21,0.667,,,,,,,,,,,,
KALANG04_WM,WM,KALANG,44.00743799,-71.37938401,392,57.424,1.13,0.543,1.13,0.560,,,,,,,,,,,,
KALANG05_WM,WM,KALANG,44.00733397,-71.37945701,390,37.853,0.79,0.356,0.37,0.208,,,,,,,,,,,,
KALANG06_WM,WM,KALANG,44.006964,-71.38000997,379,26.477,0.62,0.278,1.52,0.698,,,,,,,,,,,,
KALANG07_WM,WM,KALANG,44.00279702,-71.37855696,381,58.151,0.65,0.183,0.46,0.322,,,,,,,,,,,,
LONCAN01_WM,WM,LONCAN,43.99885702,-71.37498502,388,158.086,1.12,0.365,0.66,0.267,,,,,,,,,,,,
MYRGAL01_WM,WM,MYRGAL,44.007238,-71.379627,389,149.176,2.71,1.155,6.25,2.600,,,,,,,,,,,,
MYRGAL02_WM,WM,MYRGAL,44.00612597,-71.38090298,389,58.601,0.73,0.319,0.92,0.502,,,,,,,,,,,,
MYRGAL03_WM,WM,MYRGAL,43.99754701,-71.37255401,383,141.521,2.29,0.909,1.26,0.522,,,,,,,,,,,,
MYRGAL04_WM,WM,MYRGAL,44.00590997,-71.38088797,398,61.424,0.69,0.331,1.55,0.797,,,,,,,,,,,,
MYRGAL05_WM,WM,MYRGAL,44.00720598,-71.37957201,387,85.198,1.62,0.763,2.11,1.160,,,,,,,,,,,,
MYRGAL06_WM,WM,MYRGAL,44.00711898,-71.37969397,384,81.696,1.24,0.502,2.89,1.421,,,,,,,,,,,,
POPGRA01_WM,WM,POPGRA,44.00612799,-71.24188601,287,309,4.52,1.589,4.76,2.423,,,,,,,,,,,,
POPTRE01_WM,WM,POPTRE,43.99447203,-71.369676,391,328.395,5.59,2.382,4.01,2.174,,,,,,,,,,,,
POPTRE02_WM,WM,POPTRE,43.99477403,-71.36993098,382,307.231,5.10,2.123,5.90,3.308,,,,,,,,,,,,
POPTRE03_WM,WM,POPTRE,43.995302,-71.36904803,386,187.329,3.87,1.851,7.89,4.037,,,,,,,,,,,,
POPTRE04_WM,WM,POPTRE,43.99564298,-71.36832903,385,246.392,4.17,1.822,6.01,3.206,,,,,,,,,,,,
POPTRE05_WM,WM,POPTRE,44.01693402,-71.24776097,310,312.438,5.71,2.266,5.74,3.048,,,,,,,,,,,,
PRUPEN01_WM,WM,PRUPEN,43.99445401,-71.36929002,385,98.927,1.11,0.429,1.33,0.655,,,,,,,,,,,,
PRUPEN02_WM,WM,PRUPEN,44.00534101,-71.24146599,288,231.669,3.01,1.042,2.92,1.655,,,,,,,,,,,,
PRUPEN03_WM,WM,PRUPEN,44.00565499,-71.24143397,286,189.32,2.57,0.972,1.33,0.735,,,,,,,,,,,,
PRUPEN04_WM,WM,PRUPEN,44.01689798,-71.24832901,310,179.355,2.85,1.146,2.90,1.651,,,,,,,,,,,,
PRUPEN05_WM,WM,PRUPEN,44.016873,-71.248586,310,229.714,3.54,1.371,2.75,1.431,,,,,,,,,,,,
PRUPEN06_WM,WM,PRUPEN,,,,173.301,2.44,0.947,4.38,2.368,,,,,,,,,,,,
QUERUB01_WM,WM,QUERUB,44.00500196,-71.23872796,267,218.539,2.20,0.871,5.33,3.004,,,,,,,,,,,,
QUERUB02_WM,WM,QUERUB,44.00497103,-71.23853602,268,166.52,1.85,0.758,2.10,1.466,,,,,,,,,,,,
QUERUB03_WM,WM,QUERUB,44.00453802,-71.23765499,267,320.261,3.99,1.671,3.35,2.237,,,,,,,,,,,,
QUERUB04_WM,WM,QUERUB,44.00444197,-71.23768802,271,287.54,3.10,1.281,3.39,2.188,,,,,,,,,,,,
QUERUB05_WM,WM,QUERUB,44.00420199,-71.23672402,268,298.517,4.15,1.687,4.08,2.463,,,,,,,,,,,,
QUERUB06_WM,WM,QUERUB,44.00437198,-71.237124,268,218.686,3.29,1.382,2.80,1.765,,,,,,,,,,,,
RHAFRA01_WM,WM,RHAFRA,43.99956303,-71.37608598,417,,2.79,0.666,1.10,0.536,,,,,,,,,,,,
RHOPRI01_WM,WM,RHOPRI,44.00396981,-71.3784687,394,226.823,2.74,1.100,2.80,1.248,,,,,,,,,,,,
RHOPRI02_WM,WM,RHOPRI,44.00371802,-71.378304,388,140.732,1.53,0.637,1.19,0.503,,,,,,,,,,,,
RHOPRI03_WM,WM,RHOPRI,44.005901,-71.38091203,399,177.088,2.44,1.151,0.18,0.090,,,,,,,,,,,,
RHOPRI04_WM,WM,RHOPRI,44.00616797,-71.38085696,379,162.453,2.08,0.900,1.94,0.937,,,,,,,,,,,,
RHOPRI05_WM,WM,RHOPRI,44.00714496,-71.37963102,393,138.059,1.94,0.825,1.78,0.725,,,,,,,,,,,,
RHOPRI06_WM,WM,RHOPRI,44.00718997,-71.379598,385,124.432,1.65,0.732,1.24,0.668,,,,,,,,,,,,
SPIALB01_WM,WM,SPIALB,43.99794096,-71.37244396,341,92.816,0.91,0.388,0.76,0.438,,,,,,,,,,,,
SPIALB02_WM,WM,SPIALB,43.99822301,-71.37358599,337,153.162,1.72,0.792,0.65,0.363,,,,,,,,,,,,
SPIALB03_WM,WM,SPIALB,43.99770099,-71.37273196,385,97.786,1.20,0.542,2.69,1.442,,,,,,,,,,,,
SPIALB04_WM,WM,SPIALB,43.99828998,-71.37369001,392,67.712,0.67,0.302,1.30,0.803,,,,,,,,,,,,
SPIALB05_WM,WM,SPIALB,43.99998003,-71.37471696,377,196.204,1.75,0.749,0.51,0.327,,,,,,,,,,,,
SPIALB06_WM,WM,SPIALB,43.99854002,-71.37525902,399,132.97,1.27,0.475,0.89,0.354,,,,,,,,,,,,
SPITOM01_WM,WM,SPITOM,43.99752396,-71.37258603,383,124.153,1.60,0.759,0.73,0.442,,,,,,,,,,,,
SPITOM02_WM,WM,SPITOM,43.99760703,-71.37276197,385,187.312,2.36,1.131,1.18,0.473,,,,,,,,,,,,
SPITOM03_WM,WM,SPITOM,43.994467,-71.36963803,389,68.405,0.72,0.320,0.72,0.313,,,,,,,,,,,,
SPITOM04_WM,WM,SPITOM,43.99455501,-71.36962898,385,83.509,1.09,0.504,0.32,0.161,,,,,,,,,,,,
SPITOM05_WM,WM,SPITOM,43.994353,-71.36984599,382,114.355,1.36,0.640,0.81,0.423,,,,,,,,,,,,
SPITOM06_WM,WM,SPITOM,43.99484502,-71.36992402,383,57.43,0.73,0.327,0.46,0.247,,,,,,,,,,,,
ULMAME01_WM,WM,ULMAME,43.99806099,-71.37459501,374,310.719,4.21,1.581,4.98,2.829,,,,,,,,,,,,
ULMAME02_WM,WM,ULMAME,43.99807197,-71.37455997,381,292.52,4.72,1.902,9.68,6.049,,,,,,,,,,,,
ULMAME03_WM,WM,ULMAME,43.998767,-71.37491201,386,227.512,2.04,0.626,1.38,0.870,,,,,,,,,,,,
ULMAME04_WM,WM,ULMAME,43.998796,-71.37485099,396,144.935,1.38,0.416,2.50,1.291,,,,,,,,,,,,
ULMAME05_WM,WM,ULMAME,43.99902801,-71.37542599,394,298.039,3.01,0.867,3.12,1.526,,,,,,,,,,,,
ULMAME06_WM,WM,ULMAME,43.999027,-71.37537503,397,198.825,2.59,0.956,4.93,2.705,,,,,,,,,,,,
VACMYR01_WM,WM,VACMYR,44.00536397,-71.38028196,391,43.771,0.44,0.200,0.65,0.431,,,,,,,,,,,,
VACMYR02_WM,WM,VACMYR,44.00534302,-71.38033502,389,85.876,0.90,0.417,1.08,0.647,,,,,,,,,,,,
VACMYR03_WM,WM,VACMYR,44.00272602,-71.37850902,393,96.596,0.95,0.336,0.83,0.586,,,,,,,,,,,,
VACMYR04_WM,WM,VACMYR,44.00318401,-71.37839796,391,58.273,0.60,0.279,0.71,0.480,,,,,,,,,,,,
VACMYR05_WM,WM,VACMYR,44.00535098,-71.38043803,404,60.885,0.62,0.261,1.66,1.115,,,,,,,,,,,,
VACMYR06_WM,WM,VACMYR,44.00764402,-71.37907103,393,66.673,0.54,0.191,0.55,0.338,,,,,,,,,,,,
VACMYR07_WM,WM,VACMYR,44.00736004,-71.37941896,387,56.195,0.68,0.314,1.20,0.760,,,,,,,,,,,,
VIBCAS01_WM,WM,VIBCAS,44.00232503,-71.37829897,395,230.38,3.68,0.950,1.45,0.807,,,,,,,,,,,,
VIBCAS02_WM,WM,VIBCAS,44.00251597,-71.37850701,394,304.818,4.26,1.141,3.23,1.891,,,,,,,,,,,,
VIBCAS03_WM,WM,VIBCAS,44.00523598,-71.38009496,390,163.92,2.88,0.947,2.14,1.297,,,,,,,,,,,,
VIBCAS04_WM,WM,VIBCAS,44.00381802,-71.37834297,391,204.145,3.72,1.337,2.80,1.581,,,,,,,,,,,,
VIBCAS05_WM,WM,VIBCAS,44.00268302,-71.37850701,393,278.918,5.84,1.975,3.82,2.158,,,,,,,,,,,,
VIBCAS06_WM,WM,VIBCAS,44.00310597,-71.37841296,391,286.507,5.22,2.029,2.19,1.240,,,,,,,,,,,,
VIBCAS07_WM,WM,VIBCAS,44.00548702,-71.38055203,401,239.607,5.17,1.994,1.89,1.057,,,,,,,,,,,,
VIBCAS08_WM,WM,VIBCAS,44.00655303,-71.38042102,395,231.245,4.34,1.662,2.01,1.212,,,,,,,,,,,,
VIBLAN01_WM,WM,VIBLAN,44.00021799,-71.37697396,396,294.948,2.92,0.813,1.26,0.528,,,,,,,,,,,,
VIBLAN02_WM,WM,VIBLAN,44.00014197,-71.37760101,389,376.645,4.78,1.432,2.25,0.907,,,,,,,,,,,,
VIBLAN03_WM,WM,VIBLAN,44.00102098,-71.37851497,390,303.917,3.69,0.893,1.38,0.484,,,,,,,,,,,,
VIBLAN04_WM,WM,VIBLAN,44.000694,-71.37851497,394,139.484,1.91,0.627,1.68,0.658,,,,,,,,,,,,
VIBLAN05_WM,WM,VIBLAN,44.00091796,-71.378621,394,277.172,2.93,0.793,1.01,0.392,,,,,,,,,,,,
VIBLAN04_WM,WM,VIBLAN,44.000694,-71.37851497,394,139.484,2.39,0.715,0.96,0.374,,,,,,,,,,,,
ACEPEN05_SH,SH,ACEPEN,45.99101798,-74.010551,376.708313,289.87,3.29,1.14,1.01,0.49,10.25,5.8,,,,,,,,,2.005149126,46.50421906
ACEPEN06_SH,SH,ACEPEN,46.000773,-74.00578296,385.436188,271.493,2.92,0.87,1.56,0.78,7.94,5.6,,,,,,,,,1.765407801,47.24977875
ACEPEN07_SH,SH,ACEPEN,46.00180699,-74.00497402,420.484741,266.044,2.69,0.81,0.94,0.51,11.43,,,,6.7,4,2.8,,,,1.628141165,47.01345825
ACEPEN08_SH,SH,ACEPEN,46.00209902,-74.00447404,433.462708,297.371,3.97,1.13,2.73,1.32,4.00,,,,2.4,4.2,2.8,,,,2.470552683,47.91010284
ACEPEN09_SH,SH,ACEPEN,46.00217404,-74.00143703,413.439209,256.662,3.06,0.9,1.33,0.64,3.70,4.3,,,,,,,,,2.229628325,46.81370544
ACEPEN11_SH,SH,ACEPEN,45.98913096,-74.00331801,368.373383,281.254,3,0.75,2.54,1.21,6.98,,,,5.7,3.8,4.7,,,,2.089694023,47.47185516
ACERUB05_SH,SH,ACERUB,45.98921604,-74.00372797,359.941681,236.64,3.06,1.32,1.86,0.93,13.72,5.1,,,,,,,,,1.441077471,49.89678192
